order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	    2	 107	107.0	 -12.3067	 0.4402
 1	    1	 102	124.7	  -0.3178	 0.4775
 2	    1	  95	123.6	  -6.6820	 0.7786
 3	    1	  96	176.6	   1.4662	 0.3432
 4	    0	 113	183.9	 -16.5594	 0.4868
 5	    1	 112	163.8	   4.8596	 0.3663
 6	    0	 100	270.6	  18.6321	 0.4807
 7	    1	 111	168.3	   7.2626	 1.5699
 8	    1	 124	147.7	  17.4981	 0.3282
 9	    1	 123	65.1	  -2.0683	 1.9541
10	    1	 117	89.7	  14.2046	 0.5211
11	    1	 112	87.0	   1.3533	 0.8723
12	    1	 114	129.6	   6.5569	 1.4950
13	    0	 120	307.5	 -10.1973	 0.3834
14	    1	 114	150.5	   0.1231	 0.3783
15	    1	 113	131.1	   4.4620	 0.6747
16	    1	 106	93.8	  -7.3413	 1.6054
17	    1	  99	134.6	   5.5274	 0.5537
18	    0	 109	181.6	  -2.9844	 1.2234
19	    1	 100	101.8	   7.6441	 0.4236
20	    1	  89	167.5	  -4.2248	 0.6331
21	    1	  89	110.5	  -3.9816	 0.4292
22	    1	 101	134.0	 -18.7873	 0.4249
23	    1	 110	234.0	  12.3307	 0.4628
24	    1	 106	167.8	 -10.0279	 0.3583
25	    0	  89	333.5	   6.5161	 0.5555
26	    0	  93	339.0	  19.2452	 0.3592
27	    0	  78	888.3	  10.6205	 0.4876
28	    2	  66	131.0	  -2.1798	 0.5245
29	    2	  67	111.7	 -12.9292	 0.4896
30	    0	  76	379.6	  15.6947	 0.4052
31	    2	  72	121.0	 -15.2799	 0.3375
32	    1	  68	220.6	   7.9752	 0.4084
33	    2	  67	142.4	  -7.1544	 0.9196
34	    2	  74	80.1	  15.2823	 2.4203
35	    2	  78	156.8	  15.5313	 0.3736
36	    2	  68	109.1	 -15.4937	 0.7553
37	    0	  54	411.0	  15.9225	 0.7082
38	    3	  64	126.1	   9.8175	 0.3360
39	    1	  85	136.6	   5.1690	 0.5855
40	    1	  68	235.3	   5.1443	 0.7496
41	    1	  67	114.2	  -4.5805	 2.4060
42	    0	  78	866.3	  19.8409	 0.2663
43	    2	  60	192.1	 -13.9379	 0.4451
44	    2	  73	105.8	  11.0396	 0.2827
45	    2	  43	111.6	 -17.0528	 1.2836
46	    1	  59	279.0	   1.2571	 0.3409
47	    2	  46	147.2	   2.1076	 0.9461
48	    2	  52	222.0	   1.0116	 0.3698
49	    2	  40	137.6	  16.3753	 0.4538
50	    2	  47	183.9	  -8.4895	 0.3798
51	    0	  59	273.8	   1.6581	 1.2588
52	    2	  41	105.9	 -11.5368	 1.3802
53	    1	  39	153.5	  13.6469	 0.7822
54	    2	  30	113.7	 -11.4459	 1.9289
55	    5	  13	72.6	  16.7635	 1.7413
56	    0	   0	 0.0	   0.0000	 0.0000
57	    3	  17	176.1	   3.2639	 0.8342
58	    4	  22	137.4	  -1.2006	 0.3788
59	    2	  48	140.8	 -18.8780	 0.3995
60	    2	  42	152.8	   9.7877	 0.7442
61	    2	  47	160.9	 -11.5265	 0.9229
62	    9	   7	79.8	  -8.4922	 0.3593
63	    3	  31	117.9	  -5.1413	 2.5346
64	    3	  25	167.3	 -17.4340	 1.3120
65	    0	   0	 0.0	   0.0000	 0.0000
66	   14	   5	71.1	  -2.2078	 0.3388
67	    8	  23	103.7	  -8.1136	 0.4987
68	    4	  32	84.5	   8.2893	 5.0330
69	    4	  19	181.1	   1.6916	 1.6334
70	    0	   0	 0.0	   0.0000	 0.0000
