toi,name,exofop_url,harps_url
TOI0101,WASP-46,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0101,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/WASP-46_RVs/WASP-46_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0102,WASP-62,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0102,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/WASP-62_RVs/WASP-62_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0116,WASP-91,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0116,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/WASP-91_RVs/WASP-91_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0118,HD219666,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0118,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/HD219666_RVs/HD219666_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0119,HIP31609,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0119,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/HIP31609_RVs/HIP31609_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0120,HD1397,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0120,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/HD1397_RVs/HD1397_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0121,CD-4215773,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0121,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/CD-4215773_RVs/CD-4215773_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0123,HD202772,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0123,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/HD202772_RVs/HD202772_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0125,TOI-125,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0125,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TOI-125_RVs/TOI-125_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0128,HD36481,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0128,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/HD36481_RVs/HD36481_HARPS_RVBank_ver02_rvsonly.dat&run
TOI0130,HD5278,https://exofop.ipac.caltech.edu/tess/target.php?id=TOI-0130,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/HD5278_RVs/HD5278_HARPS_RVBank_ver02_rvsonly.dat&run
