Target,RA,DEC,Sp. Type,T_eff [K],V [mag],G [mag],Data product plots,Pre-upgrade DRS,Post-upgrade DRS,Pre-upgrade standard SERVAL,Post-upgrade standard SERVAL,Pre-upgrade mlc SERVAL (use these),Post-upgrade mlc SERVAL(use these),RA_deg,DEC_deg
BD+053829,18:37:05.2146,+05:17:31.620,G5,4872.9,9.8,9.4,BD+053829_plots.pdf,BD+053829_harps_pre-drs.vels,,BD+053829_harps_pre-serval.vels,,BD+053829_harps_pre_serval-mlc.vels,,279.27172749999994,5.292116666666667
BD+053835,18:37:30.2983,+05:12:15.716,G5,4728.8,9.8,9.4,BD+053835_plots.pdf,BD+053835_harps_pre-drs.vels,,BD+053835_harps_pre-serval.vels,,BD+053835_harps_pre_serval-mlc.vels,,279.3762429166666,5.2043655555555555
BD+072474,11:43:38.042,+06:33:49.29,G0,5339.0,10.7,,BD+072474_plots.pdf,BD+072474_harps_pre-drs.vels,,BD+072474_harps_pre-serval.vels,,BD+072474_harps_pre_serval-mlc.vels,,175.90850833333332,6.563691666666666
BD+101802,08:27:35.5566,+10:30:23.565,K5,4228.5,9.9,9.3,BD+101802_plots.pdf,,BD+101802_harps_post-drs.vels,,BD+101802_harps_post-serval.vels,,BD+101802_harps_post_serval-mlc.vels,126.89815249999997,10.506545833333334
BD+144559,21:13:35.9900,+14:41:21.784,K5,4869.2,9.7,9.4,BD+144559_plots.pdf,,BD+144559_harps_post-drs.vels,,BD+144559_harps_post-serval.vels,,BD+144559_harps_post_serval-mlc.vels,318.39995833333325,14.689384444444444
BD+20594,03:34:36.2291,+20:35:57.269,K0,5456.8,10.9,10.9,BD+20594_plots.pdf,,BD+20594_harps_post-drs.vels,,BD+20594_harps_post-serval.vels,,BD+20594_harps_post_serval-mlc.vels,53.65095458333332,20.59924138888889
BD+23527,03:46:53.7461,+23:35:00.798,G0V,5642.8,10.6,10.4,BD+23527_plots.pdf,,BD+23527_harps_post-drs.vels,,BD+23527_harps_post-serval.vels,,BD+23527_harps_post_serval-mlc.vels,56.72394208333333,23.583555
BD-013943,20:18:09.3209,-01:04:32.610,F9,5604.0,9.8,9.6,BD-013943_plots.pdf,,BD-013943_harps_post-drs.vels,,BD-013943_harps_post-serval.vels,,BD-013943_harps_post_serval-mlc.vels,304.5388370833333,-1.075725
BD-053461,12:15:48.4847,-06:24:11.087,,5756.0,10.4,10.3,BD-053461_plots.pdf,,BD-053461_harps_post-drs.vels,,BD-053461_harps_post-serval.vels,,BD-053461_harps_post_serval-mlc.vels,183.9520195833333,-6.403079722222222
BD-055432,21:00:06.1969,-05:05:40.037,,4875.2,9.9,9.5,BD-055432_plots.pdf,BD-055432_harps_pre-drs.vels,,BD-055432_harps_pre-serval.vels,,BD-055432_harps_pre_serval-mlc.vels,,315.02582041666665,-5.094454722222222
BD-073537,13:04:05.9881,-08:04:27.839,,5637.1,10.6,10.3,BD-073537_plots.pdf,BD-073537_harps_pre-drs.vels,,BD-073537_harps_pre-serval.vels,,BD-073537_harps_pre_serval-mlc.vels,,196.02495041666666,-8.074399722222221
BD-07436B,02:28:37.3244,-07:03:41.286,K5,,13.4,11.8,BD-07436B_plots.pdf,,BD-07436B_harps_post-drs.vels,,BD-07436B_harps_post-serval.vels,,BD-07436B_harps_post_serval-mlc.vels,37.155518333333326,-7.061468333333333
BD-096003,22:33:28.4131,-09:01:21.977,,4860.0,10.9,10.6,BD-096003_plots.pdf,,BD-096003_harps_post-drs.vels,,BD-096003_harps_post-serval.vels,,BD-096003_harps_post_serval-mlc.vels,338.3683879166666,-9.02277138888889
BD-114672,18:33:28.8322,-11:38:09.721,K7V,,10.0,9.5,BD-114672_plots.pdf,BD-114672_harps_pre-drs.vels,BD-114672_harps_post-drs.vels,BD-114672_harps_pre-serval.vels,BD-114672_harps_post-serval.vels,BD-114672_harps_pre_serval-mlc.vels,BD-114672_harps_post_serval-mlc.vels,278.3701341666667,-11.636033611111111
BD-122361,08:09:47.8147,-12:54:14.004,,4839.0,10.4,10.2,BD-122361_plots.pdf,BD-122361_harps_pre-drs.vels,BD-122361_harps_post-drs.vels,BD-122361_harps_pre-serval.vels,BD-122361_harps_post-serval.vels,BD-122361_harps_pre_serval-mlc.vels,BD-122361_harps_post_serval-mlc.vels,122.44922791666664,-12.90389
BD-122371,08:10:15.1831,-12:50:41.105,,5014.9,10.6,10.4,BD-122371_plots.pdf,BD-122371_harps_pre-drs.vels,,BD-122371_harps_pre-serval.vels,,BD-122371_harps_pre_serval-mlc.vels,,122.56326291666664,-12.84475138888889
BD-132130,07:37:09.2333,-13:54:23.954,G5IV-V/K2III,4572.3,10.0,9.7,BD-132130_plots.pdf,BD-132130_harps_pre-drs.vels,,BD-132130_harps_pre-serval.vels,,BD-132130_harps_pre_serval-mlc.vels,,114.28847208333332,-13.90665388888889
BD-136424,23:32:30.8615,-12:15:51.465,M0Ve,4058.7,10.6,9.8,BD-136424_plots.pdf,,BD-136424_harps_post-drs.vels,,BD-136424_harps_post-serval.vels,,BD-136424_harps_post_serval-mlc.vels,353.12858958333334,-12.264295833333334
BD-156276,22:48:07.5636,-14:29:40.842,?+M4-7,5390.0,11.2,10.9,,,BD-156276_harps_post-drs.vels,,BD-156276_harps_post-serval.vels,,BD-156276_harps_post_serval-mlc.vels,342.03151499999996,-14.494678333333333
BD-15705,04:02:16.4850,-15:21:29.807,K3/4,4881.6,10.0,9.8,BD-15705_plots.pdf,BD-15705_harps_pre-drs.vels,,BD-15705_harps_pre-serval.vels,,BD-15705_harps_pre_serval-mlc.vels,,60.568687499999996,-15.358279722222221
BD-17751,03:53:54.5221,-16:57:15.361,,5887.0,10.5,10.5,BD-17751_plots.pdf,BD-17751_harps_pre-drs.vels,,BD-17751_harps_pre-serval.vels,,BD-17751_harps_pre_serval-mlc.vels,,58.47717541666666,-16.954266944444445
BD-184705,17:56:51.9898,-19:00:03.443,,4098.0,9.6,9.0,BD-184705_plots.pdf,BD-184705_harps_pre-drs.vels,,BD-184705_harps_pre-serval.vels,,BD-184705_harps_pre_serval-mlc.vels,,269.21662416666663,-19.000956388888888
BD-184710,17:57:03.1667,-18:59:13.933,,4253.7,9.4,9.0,BD-184710_plots.pdf,BD-184710_harps_pre-drs.vels,,BD-184710_harps_pre-serval.vels,,BD-184710_harps_pre_serval-mlc.vels,,269.2631945833333,-18.987203611111113
BD-194341,16:14:13.8183,-19:39:36.253,K0IV,4963.8,9.6,9.3,BD-194341_plots.pdf,,BD-194341_harps_post-drs.vels,,BD-194341_harps_post-serval.vels,,BD-194341_harps_post_serval-mlc.vels,243.55757624999998,-19.660070277777777
BD-202976,09:39:30.0860,-20:58:56.877,,5981.0,9.4,9.3,,,BD-202976_harps_post-drs.vels,,BD-202976_harps_post-serval.vels,,BD-202976_harps_post_serval-mlc.vels,144.87535833333334,-20.982465833333332
CD-2312854,16:21:45.7780,-23:32:52.289,G7V,5267.5,10.8,10.5,CD-2312854_plots.pdf,,CD-2312854_harps_post-drs.vels,,CD-2312854_harps_post-serval.vels,,CD-2312854_harps_post_serval-mlc.vels,245.44074166666664,-23.547858055555558
CD-2514757,20:25:18.9069,-24:48:45.508,,5572.0,10.9,10.6,CD-2514757_plots.pdf,CD-2514757_harps_pre-drs.vels,,CD-2514757_harps_pre-serval.vels,,CD-2514757_harps_pre_serval-mlc.vels,,306.32877874999997,-24.812641111111112
CD-261407,03:44:01.2459,-26:32:15.281,,6250.2,10.9,10.8,CD-261407_plots.pdf,,CD-261407_harps_post-drs.vels,,CD-261407_harps_post-serval.vels,,CD-261407_harps_post_serval-mlc.vels,56.005191249999996,-26.537578055555556
CD-281745,04:47:22.6810,-27:50:29.311,M0V,4055.0,10.1,9.3,CD-281745_plots.pdf,,CD-281745_harps_post-drs.vels,,CD-281745_harps_post-serval.vels,,CD-281745_harps_post_serval-mlc.vels,71.84450416666667,-27.841475277777775
CD-287411,09:34:40.4580,-29:00:33.593,,5624.8,10.4,10.2,CD-287411_plots.pdf,CD-287411_harps_pre-drs.vels,,CD-287411_harps_pre-serval.vels,,CD-287411_harps_pre_serval-mlc.vels,,143.66857499999998,-29.00933138888889
