order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	   62	 107	60.9	   3.3978	 3.1345
 1	   49	 102	51.3	   3.3983	 2.9985
 2	   71	  95	58.6	   3.3393	 2.9760
 3	   97	  96	53.2	   3.5425	 3.1591
 4	  121	 113	58.6	   3.3788	 3.0423
 5	  112	 112	49.5	   3.1991	 2.8608
 6	  149	 100	54.9	   3.4270	 2.7963
 7	  177	 111	49.4	   3.1945	 2.7364
 8	  291	 124	60.9	   3.2792	 3.0345
 9	  326	 123	62.2	   3.3913	 3.2602
10	  340	 117	58.4	   3.3937	 2.9031
11	  391	 112	64.7	   3.3711	 3.2604
12	  442	 114	62.0	   3.3691	 3.0400
13	  458	 120	57.5	   3.4013	 2.8549
14	  483	 114	60.7	   3.3416	 3.1352
15	  543	 113	60.8	   3.3498	 3.4085
16	  556	 106	60.2	   3.2854	 3.4694
17	  618	  99	57.1	   3.2120	 3.8489
18	  604	 109	58.9	   3.1525	 3.2651
19	  581	 100	52.1	   3.4059	 3.0513
20	  793	  89	52.2	   3.3587	 2.8651
21	  854	  89	53.2	   3.3280	 3.0760
22	  877	 101	54.5	   3.3125	 2.9631
23	 1046	 110	61.7	   3.2666	 3.1368
24	 1109	 106	61.7	   3.3726	 3.1701
25	 1227	  89	56.3	   3.3646	 3.0051
26	 1270	  93	60.0	   3.3952	 3.0811
27	 1352	  78	56.7	   3.5170	 3.4690
28	 1456	  66	61.0	   3.3659	 3.2924
29	 1538	  67	58.0	   3.3370	 3.0049
30	 1527	  76	50.2	   3.4865	 2.8919
31	 1565	  72	53.3	   3.3108	 3.1298
32	 1664	  68	57.7	   3.3436	 3.0612
33	 1765	  67	55.0	   3.3072	 2.8458
34	 1807	  74	50.6	   3.3334	 2.9682
35	 1746	  78	51.9	   3.3212	 3.0886
36	 1655	  68	58.8	   3.3060	 3.1285
37	 1958	  54	61.1	   3.2916	 3.4802
38	 2009	  64	59.6	   3.3368	 3.0657
39	 2011	  85	59.9	   3.3358	 3.1758
40	 1919	  68	58.0	   3.2496	 3.1511
41	 2053	  67	56.7	   3.2928	 3.1701
42	 2123	  78	54.8	   3.3221	 3.0560
43	 2002	  60	59.0	   3.3451	 3.8977
44	 2252	  73	57.0	   3.4081	 3.1879
45	 2220	  73	54.7	   3.3401	 3.4189
46	 2321	  43	61.0	   3.3895	 3.8954
47	 2435	  59	56.5	   3.3224	 3.9780
48	 2261	  46	53.3	   3.2716	 3.1204
49	 2560	  52	48.2	   3.3035	 3.3452
50	 2414	  40	54.3	   3.2671	 3.6383
51	 2330	  47	52.2	   3.2403	 3.7309
52	 2644	  58	43.6	   3.2851	 2.7632
53	 2717	  41	48.0	   3.4408	 3.2104
54	 2789	  39	43.3	   3.3729	 2.8190
55	 2357	  30	40.0	   3.2661	 2.8362
56	 2301	  13	50.2	   3.3246	 2.9860
57	    0	   0	 0.0	   0.0000	 0.0000
58	 3038	  17	56.5	   3.2391	 3.4750
59	 2967	  22	46.9	   3.2846	 3.1840
60	 3069	  48	50.2	   3.3377	 3.2896
61	 3393	  42	52.5	   3.3415	 3.1676
62	 3702	  47	50.5	   3.2906	 3.2879
63	 2669	   7	50.0	   3.2962	 3.1618
64	 3491	  31	40.5	   3.2741	 3.1886
65	 3830	  25	53.4	   3.3877	 3.5166
66	    0	   0	 0.0	   0.0000	 0.0000
67	 3031	   5	41.1	   3.2094	 2.9203
68	 4152	  23	40.5	   3.2271	 3.1185
69	 4149	  32	34.8	   3.3197	 3.1923
70	 3868	  19	32.3	   3.3346	 3.0294
71	    0	   0	 0.0	   0.0000	 0.0000
