COLLECTION,TARGETNAME,s_ra,s_dec,APERTURE,em_min,em_max,SPECRP,SNR,t_min,t_max,CREATORDID,access_url,dp_id
HARPS,Gl367,146.12492,-45.7783,0.999972,3.78136e-07,6.91253e-07,115000.0,32.1,54231.07469058,54231.08510725,ivo://eso.org/origfile?HARPS.2007-05-11T01:47:33.266_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-17T11:20:03.663&eso_download=file,ADP.2014-09-17T11:20:03.663
HARPS,Gl367,146.12539,-45.77752,0.999972,3.7814199999999997e-07,6.91269e-07,115000.0,39.5,54199.09029974,54199.10071644,ivo://eso.org/origfile?HARPS.2007-04-09T02:10:01.898_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-17T11:20:20.860&eso_download=file,ADP.2014-09-17T11:20:20.860
HARPS,Gl367,146.12376,-45.77767,0.999972,3.78132e-07,6.91247e-07,115000.0,37.1,54257.00220072,54257.01956183,ivo://eso.org/origfile?HARPS.2007-06-06T00:03:10.142_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-17T11:20:36.367&eso_download=file,ADP.2014-09-17T11:20:36.367
HARPS,Gl367,146.12566,-45.77737,0.999972,3.78173e-07,6.91312e-07,115000.0,39.5,54134.24196933,54134.25238599,ivo://eso.org/origfile?HARPS.2007-02-03T05:48:26.150_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-17T11:23:06.563&eso_download=file,ADP.2014-09-17T11:23:06.563
HARPS,Gl367,146.12588,-45.7766,0.999972,3.78171e-07,6.913200000000001e-07,115000.0,52.3,54120.28082642,54120.29124309,ivo://eso.org/origfile?HARPS.2007-01-20T06:44:23.403_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-17T11:23:52.453&eso_download=file,ADP.2014-09-17T11:23:52.453
HARPS,Gl367,146.12566,-45.77599,0.999972,3.7813799999999997e-07,6.912670000000001e-07,115000.0,42.0,54569.05586572,54569.06628239,ivo://eso.org/origfile?HARPS.2008-04-13T01:20:26.798_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-18T12:16:09.177&eso_download=file,ADP.2014-09-18T12:16:09.177
HARPS,Gl367,146.12574,-45.77759,0.999972,3.78137e-07,6.91266e-07,115000.0,27.9,54935.03823233,54935.048649,ivo://eso.org/origfile?HARPS.2009-04-14T00:55:03.273_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:03:01.610&eso_download=file,ADP.2014-09-23T11:03:01.610
HARPS,Gl367,146.12462,-45.77855,0.999972,3.7813e-07,6.912459999999999e-07,115000.0,33.9,54992.97333105,54992.98374771,ivo://eso.org/origfile?HARPS.2009-06-10T23:21:35.803_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:03:26.197&eso_download=file,ADP.2014-09-23T11:03:26.197
HARPS,Gl367,146.12667,-45.77733,0.999972,3.78139e-07,6.912649999999999e-07,115000.0,34.7,54937.06489067,54937.07530734,ivo://eso.org/origfile?HARPS.2009-04-16T01:33:26.554_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:04:45.430&eso_download=file,ADP.2014-09-23T11:04:45.430
HARPS,Gl367,146.12541,-45.77777,0.999972,3.78145e-07,6.912759999999999e-07,115000.0,43.7,54919.09643433,54919.106851,ivo://eso.org/origfile?HARPS.2009-03-29T02:18:51.926_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:05:04.747&eso_download=file,ADP.2014-09-23T11:05:04.747
