COLLECTION,TARGETNAME,s_ra,s_dec,APERTURE,em_min,em_max,SPECRP,SNR,t_min,t_max,CREATORDID,access_url,dp_id
HARPS,SW1221-5250B,185.328139,-52.84232,0.999972,3.7820800000000005e-07,6.91321e-07,115000.0,12.0,57446.15194503,57446.16236168,ivo://eso.org/origfile?HARPS.2016-02-28T03:38:48.051_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-02-29T01:02:35.780&eso_download=file,ADP.2016-02-29T01:02:35.780
HARPS,SW1221-5250B,185.32802,-52.84294,0.999972,3.78206e-07,6.91318e-07,115000.0,20.2,57452.12989945,57452.14378832,ivo://eso.org/origfile?HARPS.2016-03-05T03:07:03.312_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-03-06T01:02:32.950&eso_download=file,ADP.2016-03-06T01:02:32.950
HARPS,SW1221-5250B,185.327451,-52.84297,0.999972,3.7821e-07,6.91328e-07,115000.0,16.3,57427.35595481,57427.36637146,ivo://eso.org/origfile?HARPS.2016-02-09T08:32:34.496_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-02-10T01:02:34.463&eso_download=file,ADP.2016-02-10T01:02:34.463
HARPS,SW1221-5250B,185.32677,-52.84349,0.999972,3.78209e-07,6.91327e-07,115000.0,13.4,57431.34285874,57431.35327539,ivo://eso.org/origfile?HARPS.2016-02-13T08:13:42.995_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-02-14T01:01:43.110&eso_download=file,ADP.2016-02-14T01:01:43.110
HARPS,SW1221-5250B,185.327013,-52.84286,0.999972,3.7820800000000005e-07,6.91317e-07,115000.0,16.5,57453.13506793,57453.14548458,ivo://eso.org/origfile?HARPS.2016-03-06T03:14:29.869_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-03-07T01:02:44.350&eso_download=file,ADP.2016-03-07T01:02:44.350
HARPS,SW1221-5250B,185.326458,-52.84282,0.999972,3.78206e-07,6.913189999999999e-07,115000.0,7.2,57449.12204166,57449.13245831,ivo://eso.org/origfile?HARPS.2016-03-02T02:55:44.399_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-03-03T01:03:19.867&eso_download=file,ADP.2016-03-03T01:03:19.867
HARPS,SW1221-5250B,185.326883,-52.84273,0.999972,3.7820499999999996e-07,6.91315e-07,115000.0,10.4,57457.12080389,57457.13122054,ivo://eso.org/origfile?HARPS.2016-03-10T02:53:57.456_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-03-11T01:03:05.443&eso_download=file,ADP.2016-03-11T01:03:05.443
HARPS,SW1221-5250B,185.326076,-52.84218,0.999972,3.7820499999999996e-07,6.913139999999999e-07,115000.0,13.6,57458.10944345,57458.1198601,ivo://eso.org/origfile?HARPS.2016-03-11T02:37:35.914_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-03-12T01:02:35.587&eso_download=file,ADP.2016-03-12T01:02:35.587
HARPS,SW1221-5250B,185.325217,-52.84345,0.999972,3.78207e-07,6.913200000000001e-07,115000.0,11.2,57447.17531869,57447.18573534,ivo://eso.org/origfile?HARPS.2016-02-29T04:12:27.535_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-03-01T01:04:14.500&eso_download=file,ADP.2016-03-01T01:04:14.500
HARPS,SW1221-5250B,185.324918,-52.84331,0.999972,3.78213e-07,6.91315e-07,115000.0,10.8,57456.13772951,57456.14814616,ivo://eso.org/origfile?HARPS.2016-03-09T03:18:19.830_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-03-10T01:02:51.507&eso_download=file,ADP.2016-03-10T01:02:51.507
HARPS,SW1221-5250B,185.322827,-52.84525,0.999972,3.7820800000000005e-07,6.913200000000001e-07,115000.0,11.5,57448.2145474,57448.22496405,ivo://eso.org/origfile?HARPS.2016-03-01T05:08:56.895_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-03-02T01:04:49.160&eso_download=file,ADP.2016-03-02T01:04:49.160
HARPS,SW1221-5250B,185.323899,-52.84383,0.999972,3.78207e-07,6.913160000000001e-07,115000.0,11.2,57454.15492282,57454.16533947,ivo://eso.org/origfile?HARPS.2016-03-07T03:43:05.332_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-03-08T01:02:12.783&eso_download=file,ADP.2016-03-08T01:02:12.783
HARPS,SW1221-5250B,185.326058,-52.84412,0.999972,3.78217e-07,6.91326e-07,115000.0,11.0,57433.26170954,57433.27212619,ivo://eso.org/origfile?HARPS.2016-02-15T06:16:51.704_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-02-16T01:02:53.307&eso_download=file,ADP.2016-02-16T01:02:53.307
HARPS,SW1221-5250B,185.326664,-52.84439,0.999972,3.78214e-07,6.91327e-07,115000.0,9.4,57429.30780457,57429.31822122,ivo://eso.org/origfile?HARPS.2016-02-11T07:23:14.315_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-02-12T01:02:31.710&eso_download=file,ADP.2016-02-12T01:02:31.710
HARPS,SW1221-5250B,185.326811,-52.84413,0.999972,3.78213e-07,6.91328e-07,115000.0,16.6,57432.29082186,57432.30123851,ivo://eso.org/origfile?HARPS.2016-02-14T06:58:47.009_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-02-15T01:02:34.083&eso_download=file,ADP.2016-02-15T01:02:34.083
HARPS,SW1221-5250B,185.326397,-52.84394,0.999972,3.7821e-07,6.91326e-07,115000.0,11.7,57434.29948698,57434.30990363,ivo://eso.org/origfile?HARPS.2016-02-16T07:11:15.675_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-02-17T01:02:17.610&eso_download=file,ADP.2016-02-17T01:02:17.610
HARPS,SW1221-5250B,185.329545,-52.84259,0.999972,3.78215e-07,6.91328e-07,115000.0,9.4,57428.22563753,57428.23605418,ivo://eso.org/origfile?HARPS.2016-02-10T05:24:55.083_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-02-11T01:02:35.737&eso_download=file,ADP.2016-02-11T01:02:35.737
