COLLECTION,TARGETNAME,s_ra,s_dec,APERTURE,em_min,em_max,SPECRP,SNR,t_min,t_max,CREATORDID,access_url,dp_id
HARPS,TOI-763,194.466632,-39.75952,0.999972,3.78153e-07,6.91231e-07,115000.0,39.4,58655.06009141,58655.08092472,ivo://eso.org/origfile?HARPS.2019-06-21T01:26:31.898_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2019-06-22T01:17:15.239&eso_download=file,ADP.2019-06-22T01:17:15.239
HARPS,TOI-763,194.466265,-39.76212,0.999972,3.78153e-07,6.91231e-07,115000.0,39.4,58655.1288518,58655.14968511,ivo://eso.org/origfile?HARPS.2019-06-21T03:05:32.796_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2019-06-22T01:17:15.245&eso_download=file,ADP.2019-06-22T01:17:15.245
HARPS,TOI-763,194.466914,-39.76219,0.999972,3.78152e-07,6.91231e-07,115000.0,36.3,58656.12526743,58656.14610074,ivo://eso.org/origfile?HARPS.2019-06-22T03:00:23.106_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2019-06-23T01:13:00.095&eso_download=file,ADP.2019-06-23T01:13:00.095
HARPS,TOI-763,194.465311,-39.75934,0.999972,3.7815499999999996e-07,6.9123e-07,115000.0,59.8,58657.07187661,58657.09270992,ivo://eso.org/origfile?HARPS.2019-06-23T01:43:30.139_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2019-06-24T01:13:58.999&eso_download=file,ADP.2019-06-24T01:13:58.999
HARPS,TOI-763,194.465461,-39.76154,0.999972,3.7815499999999996e-07,6.9123e-07,115000.0,47.2,58657.13918077,58657.16001408,ivo://eso.org/origfile?HARPS.2019-06-23T03:20:25.219_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2019-06-24T01:13:59.005&eso_download=file,ADP.2019-06-24T01:13:59.005
HARPS,TOI-763,194.464474,-39.75993,0.999972,3.78152e-07,6.91229e-07,115000.0,43.1,58660.0919385,58660.11277181,ivo://eso.org/origfile?HARPS.2019-06-26T02:12:23.486_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2019-06-27T01:02:37.008&eso_download=file,ADP.2019-06-27T01:02:37.008
HARPS,TOI-763,194.469117,-39.75704,0.999972,3.78153e-07,6.91229e-07,115000.0,61.1,58660.9854953,58661.00632861,ivo://eso.org/origfile?HARPS.2019-06-26T23:39:06.794_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2019-06-28T01:04:37.516&eso_download=file,ADP.2019-06-28T01:04:37.516
HARPS,TOI-763,194.466638,-39.76099,0.999972,3.78153e-07,6.91228e-07,115000.0,49.8,58661.11815576,58661.13898907,ivo://eso.org/origfile?HARPS.2019-06-27T02:50:08.658_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2019-06-28T01:04:37.524&eso_download=file,ADP.2019-06-28T01:04:37.524
HARPS,TOI-763,194.46585,-39.75927,0.999972,3.7815e-07,6.912269999999999e-07,115000.0,67.5,58664.07985606,58664.10068937,ivo://eso.org/origfile?HARPS.2019-06-30T01:54:59.564_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2019-07-01T01:09:21.125&eso_download=file,ADP.2019-07-01T01:09:21.125
HARPS,TOI-763,194.466052,-39.75816,0.999972,3.78152e-07,6.912269999999999e-07,115000.0,56.0,58666.0338811,58666.05471441,ivo://eso.org/origfile?HARPS.2019-07-02T00:48:47.327_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2019-07-03T01:14:53.899&eso_download=file,ADP.2019-07-03T01:14:53.899
HARPS,TOI-763,194.466341,-39.75825,0.999972,3.7814800000000003e-07,6.91226e-07,115000.0,60.0,58667.02067756,58667.04151087,ivo://eso.org/origfile?HARPS.2019-07-03T00:29:46.541_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2019-07-04T01:16:29.201&eso_download=file,ADP.2019-07-04T01:16:29.201
HARPS,TOI-763,194.465439,-39.76115,0.999972,3.7814800000000003e-07,6.91226e-07,115000.0,62.8,58667.0965548,58667.11738811,ivo://eso.org/origfile?HARPS.2019-07-03T02:19:02.335_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2019-07-04T01:16:29.207&eso_download=file,ADP.2019-07-04T01:16:29.207
HARPS,TOI-763,194.465227,-39.75888,0.999972,3.7815e-07,6.91226e-07,115000.0,43.3,58668.04936193,58668.07019524,ivo://eso.org/origfile?HARPS.2019-07-04T01:11:04.871_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2019-07-05T01:14:25.626&eso_download=file,ADP.2019-07-05T01:14:25.626
HARPS,TOI-763,194.468343,-39.7579,0.999972,3.7815e-07,6.91226e-07,115000.0,63.4,58669.00525768,58669.02609099,ivo://eso.org/origfile?HARPS.2019-07-05T00:07:34.264_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2019-07-06T01:12:37.374&eso_download=file,ADP.2019-07-06T01:12:37.374
HARPS,TOI-763,194.467324,-39.75998,0.999972,3.78153e-07,6.91225e-07,115000.0,63.4,58669.08125377,58669.10208708,ivo://eso.org/origfile?HARPS.2019-07-05T01:57:00.326_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2019-07-06T01:12:37.386&eso_download=file,ADP.2019-07-06T01:12:37.386
HARPS,TOI-763,194.467862,-39.75831,0.999972,3.7814800000000003e-07,6.91225e-07,115000.0,60.2,58670.02308571,58670.04391902,ivo://eso.org/origfile?HARPS.2019-07-06T00:33:14.605_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2019-07-07T01:09:21.123&eso_download=file,ADP.2019-07-07T01:09:21.123
HARPS,TOI-763,194.469035,-39.76097,0.999972,3.7814800000000003e-07,6.91225e-07,115000.0,56.8,58670.09356978,58670.11440309,ivo://eso.org/origfile?HARPS.2019-07-06T02:14:44.429_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2019-07-07T01:09:21.129&eso_download=file,ADP.2019-07-07T01:09:21.129
HARPS,TOI-763,194.46689,-39.75953,0.999972,3.78152e-07,6.912240000000001e-07,115000.0,52.1,58673.06538431,58673.08621762,ivo://eso.org/origfile?HARPS.2019-07-09T01:34:09.204_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2019-07-10T01:15:31.274&eso_download=file,ADP.2019-07-10T01:15:31.274
HARPS,TOI-763,194.467394,-39.76004,0.999972,3.7815e-07,6.912240000000001e-07,115000.0,51.8,58674.07219758,58674.09303089,ivo://eso.org/origfile?HARPS.2019-07-10T01:43:57.871_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2019-07-11T01:08:09.596&eso_download=file,ADP.2019-07-11T01:08:09.596
HARPS,TOI-763,194.467684,-39.75752,0.999972,3.78149e-07,6.912240000000001e-07,115000.0,53.4,58675.98346525,58676.00429856,ivo://eso.org/origfile?HARPS.2019-07-11T23:36:11.398_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2019-07-13T01:04:56.996&eso_download=file,ADP.2019-07-13T01:04:56.996
HARPS,TOI-763,194.466405,-39.75924,0.999972,3.7814800000000003e-07,6.912240000000001e-07,115000.0,49.6,58676.05530113,58676.07613444,ivo://eso.org/origfile?HARPS.2019-07-12T01:19:38.018_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2019-07-13T01:04:57.008&eso_download=file,ADP.2019-07-13T01:04:57.008
HARPS,TOI-763,194.468008,-39.75742,0.999972,3.78149e-07,6.912240000000001e-07,115000.0,60.3,58676.99705914,58677.01789245,ivo://eso.org/origfile?HARPS.2019-07-12T23:55:45.910_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2019-07-14T01:20:03.468&eso_download=file,ADP.2019-07-14T01:20:03.468
