COLLECTION,TARGETNAME,s_ra,s_dec,APERTURE,em_min,em_max,SPECRP,SNR,t_min,t_max,CREATORDID,access_url,dp_id
HARPS,HATS700-004,193.551797,-46.5885,0.999972,3.78133e-07,6.912350000000001e-07,115000.0,22.9,56884.96431778,56884.9967252,ivo://eso.org/origfile?HARPS.2014-08-15T23:08:37.056_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-10-07T08:33:49.130&eso_download=file,ADP.2014-10-07T08:33:49.130
HARPS,HATS700-004,193.553212,-46.58841,0.999972,3.78184e-07,6.91337e-07,115000.0,15.0,57068.33613035,57068.34654704,ivo://eso.org/origfile?HARPS.2015-02-15T08:04:01.662_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-02-15T23:55:25.777&eso_download=file,ADP.2015-02-15T23:55:25.777
HARPS,HATS700-004,193.552525,-46.58831,0.999972,3.78184e-07,6.91337e-07,115000.0,10.3,57069.36439775,57069.37481444,ivo://eso.org/origfile?HARPS.2015-02-16T08:44:43.966_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-02-16T23:55:30.943&eso_download=file,ADP.2015-02-16T23:55:30.943
HARPS,HATS700-004,193.552205,-46.58825,0.999972,3.78184e-07,6.91337e-07,115000.0,6.3,57071.3604094,57071.36735386,ivo://eso.org/origfile?HARPS.2015-02-18T08:38:59.372_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-02-18T23:55:26.043&eso_download=file,ADP.2015-02-18T23:55:26.043
HARPS,HATS700-004,193.552889,-46.58833,0.999972,3.78169e-07,6.91304e-07,115000.0,10.6,57118.09501334,57118.10543001,ivo://eso.org/origfile?HARPS.2015-04-06T02:16:49.153_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-15T08:03:52.363&eso_download=file,ADP.2015-04-15T08:03:52.363
HARPS,HATS700-004,193.549713,-46.58773,0.999972,3.78166e-07,6.91302e-07,115000.0,1.5,57119.20137038,57119.20831483,ivo://eso.org/origfile?HARPS.2015-04-07T04:49:58.401_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-15T08:03:53.270&eso_download=file,ADP.2015-04-15T08:03:53.270
HARPS,HATS700-004,193.550265,-46.5878,0.999972,3.78165e-07,6.913010000000001e-07,115000.0,9.4,57120.19845758,57120.20540204,ivo://eso.org/origfile?HARPS.2015-04-08T04:45:46.735_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-15T08:03:54.923&eso_download=file,ADP.2015-04-15T08:03:54.923
HARPS,HATS700-004,193.55212,-46.59016,0.999972,3.78128e-07,6.91236e-07,115000.0,17.3,56888.00607225,56888.03847967,ivo://eso.org/origfile?HARPS.2014-08-19T00:08:44.642_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-10-07T08:35:00.487&eso_download=file,ADP.2014-10-07T08:35:00.487
HARPS,HATS700-004,193.553015,-46.59025,0.999972,3.7812700000000003e-07,6.912350000000001e-07,115000.0,12.7,56887.00731715,56887.03972456,ivo://eso.org/origfile?HARPS.2014-08-18T00:10:32.202_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-10-07T08:35:15.263&eso_download=file,ADP.2014-10-07T08:35:15.263
HARPS,HATS700-004,193.552588,-46.58874,0.999972,3.78133e-07,6.912350000000001e-07,115000.0,15.3,56885.96589398,56885.99830139,ivo://eso.org/origfile?HARPS.2014-08-16T23:10:53.240_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-10-07T08:35:17.933&eso_download=file,ADP.2014-10-07T08:35:17.933
