COLLECTION,TARGETNAME,s_ra,s_dec,APERTURE,em_min,em_max,SPECRP,SNR,t_min,t_max,CREATORDID,access_url,dp_id
HARPS,SW1145-4203,176.298082,-42.06289,0.999972,3.78153e-07,6.91271e-07,115000.0,21.0,57136.14674614,57136.15716281,ivo://eso.org/origfile?HARPS.2015-04-24T03:31:18.866_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-24T23:55:34.993&eso_download=file,ADP.2015-04-24T23:55:34.993
HARPS,SW1145-4203,176.29781,-42.06291,0.999972,3.78152e-07,6.91271e-07,115000.0,19.7,57136.16835254,57136.17876921,ivo://eso.org/origfile?HARPS.2015-04-24T04:02:25.659_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-24T23:55:35.040&eso_download=file,ADP.2015-04-24T23:55:35.040
HARPS,SW1145-4203,176.298035,-42.06287,0.999972,3.78153e-07,6.91271e-07,115000.0,19.9,57136.15754772,57136.16796438,ivo://eso.org/origfile?HARPS.2015-04-24T03:46:52.123_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-24T23:55:35.287&eso_download=file,ADP.2015-04-24T23:55:35.287
HARPS,SW1145-4203,176.297953,-42.06353,0.999972,3.78152e-07,6.91272e-07,115000.0,22.3,57136.1143251,57136.12474177,ivo://eso.org/origfile?HARPS.2015-04-24T02:44:37.689_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-24T23:55:34.907&eso_download=file,ADP.2015-04-24T23:55:34.907
HARPS,SW1145-4203,176.298058,-42.0633,0.999972,3.78153e-07,6.91272e-07,115000.0,19.7,57136.12512425,57136.13554091,ivo://eso.org/origfile?HARPS.2015-04-24T03:00:10.735_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-24T23:55:35.020&eso_download=file,ADP.2015-04-24T23:55:35.020
HARPS,SW1145-4203,176.298039,-42.06304,0.999972,3.78152e-07,6.91272e-07,115000.0,20.9,57136.13593728,57136.14635396,ivo://eso.org/origfile?HARPS.2015-04-24T03:15:44.981_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-24T23:55:35.047&eso_download=file,ADP.2015-04-24T23:55:35.047
HARPS,SW1145-4203,176.297597,-42.06306,0.999972,3.78154e-07,6.91271e-07,115000.0,18.5,57136.17914497,57136.18956165,ivo://eso.org/origfile?HARPS.2015-04-24T04:17:58.125_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-24T23:55:35.193&eso_download=file,ADP.2015-04-24T23:55:35.193
HARPS,SW1145-4203,176.298076,-42.06375,0.999972,3.78152e-07,6.91272e-07,115000.0,22.6,57136.1035277,57136.11394437,ivo://eso.org/origfile?HARPS.2015-04-24T02:29:04.793_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-24T23:55:35.347&eso_download=file,ADP.2015-04-24T23:55:35.347
HARPS,SW1145-4203,176.297562,-42.06313,0.999972,3.78152e-07,6.9127e-07,115000.0,18.5,57137.18736124,57137.19777792,ivo://eso.org/origfile?HARPS.2015-04-25T04:29:48.011_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-25T23:55:34.803&eso_download=file,ADP.2015-04-25T23:55:34.803
HARPS,SW1145-4203,176.297052,-42.06327,0.999972,3.78154e-07,6.91271e-07,115000.0,18.3,57136.18994295,57136.20035962,ivo://eso.org/origfile?HARPS.2015-04-24T04:33:31.071_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-24T23:55:34.827&eso_download=file,ADP.2015-04-24T23:55:34.827
HARPS,SW1145-4203,176.296787,-42.06354,0.999972,3.78152e-07,6.91271e-07,115000.0,18.3,57136.20073874,57136.21115541,ivo://eso.org/origfile?HARPS.2015-04-24T04:49:03.827_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-24T23:55:35.207&eso_download=file,ADP.2015-04-24T23:55:35.207
HARPS,SW1145-4203,176.296287,-42.06336,0.999972,3.78149e-07,6.9127e-07,115000.0,12.7,57138.19689674,57138.2073134,ivo://eso.org/origfile?HARPS.2015-04-26T04:43:31.878_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-26T23:55:37.927&eso_download=file,ADP.2015-04-26T23:55:37.927
HARPS,SW1145-4203,176.296898,-42.06394,0.999972,3.78152e-07,6.91271e-07,115000.0,17.8,57136.21153384,57136.22195052,ivo://eso.org/origfile?HARPS.2015-04-24T05:04:36.524_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-24T23:55:35.200&eso_download=file,ADP.2015-04-24T23:55:35.200
HARPS,SW1145-4203,176.296966,-42.06451,0.999972,3.78154e-07,6.91273e-07,115000.0,12.0,57135.03951476,57135.04993143,ivo://eso.org/origfile?HARPS.2015-04-23T00:56:54.075_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-27T08:05:48.390&eso_download=file,ADP.2015-04-27T08:05:48.390
HARPS,SW1145-4203,176.297124,-42.06393,0.999972,3.78149e-07,6.912670000000001e-07,115000.0,19.7,57141.19799015,57141.20840683,ivo://eso.org/origfile?HARPS.2015-04-29T04:45:06.349_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-30T06:11:41.623&eso_download=file,ADP.2015-04-30T06:11:41.623
HARPS,SW1145-4203,176.298381,-42.06469,0.999972,3.78152e-07,6.91272e-07,115000.0,15.5,57136.0495196,57136.05993628,ivo://eso.org/origfile?HARPS.2015-04-24T01:11:18.493_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-24T23:55:34.773&eso_download=file,ADP.2015-04-24T23:55:34.773
HARPS,SW1145-4203,176.298127,-42.06434,0.999972,3.78153e-07,6.91272e-07,115000.0,17.5,57136.0711188,57136.08153547,ivo://eso.org/origfile?HARPS.2015-04-24T01:42:24.664_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-24T23:55:34.940&eso_download=file,ADP.2015-04-24T23:55:34.940
HARPS,SW1145-4203,176.298138,-42.06417,0.999972,3.78159e-07,6.91272e-07,115000.0,20.2,57136.08192247,57136.09233914,ivo://eso.org/origfile?HARPS.2015-04-24T01:57:58.101_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-24T23:55:35.000&eso_download=file,ADP.2015-04-24T23:55:35.000
HARPS,SW1145-4203,176.29731,-42.0645,0.999972,3.78152e-07,6.91271e-07,115000.0,15.3,57136.22232442,57136.2327411,ivo://eso.org/origfile?HARPS.2015-04-24T05:20:08.830_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-24T23:55:35.013&eso_download=file,ADP.2015-04-24T23:55:35.013
HARPS,SW1145-4203,176.298363,-42.06452,0.999972,3.7815499999999996e-07,6.91272e-07,115000.0,18.4,57136.06031723,57136.0707339,ivo://eso.org/origfile?HARPS.2015-04-24T01:26:51.409_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-24T23:55:35.163&eso_download=file,ADP.2015-04-24T23:55:35.163
