COLLECTION,TARGETNAME,s_ra,s_dec,APERTURE,em_min,em_max,SPECRP,SNR,t_min,t_max,CREATORDID,access_url,dp_id
HARPS,Tchoubidoo2,214.68595,-20.27579,0.999972,3.7811200000000004e-07,6.912229999999999e-07,115000.0,38.7,54657.11446775,54657.15613442,ivo://eso.org/origfile?HARPS.2008-07-10T02:44:50.014_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-18T12:14:21.407&eso_download=file,ADP.2014-09-18T12:14:21.407
HARPS,SW1418-2016,214.68652,-20.2748,0.999972,3.7817399999999996e-07,6.9133e-07,115000.0,14.2,55276.23202438,55276.2378115,ivo://eso.org/origfile?HARPS.2010-03-21T05:34:06.906_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:41:14.260&eso_download=file,ADP.2014-09-24T09:41:14.260
HARPS,SW1418-2016,214.6868,-20.27422,0.999972,3.78173e-07,6.9133e-07,115000.0,15.7,55276.33509132,55276.34087836,ivo://eso.org/origfile?HARPS.2010-03-21T08:02:31.890_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:41:14.447&eso_download=file,ADP.2014-09-24T09:41:14.447
HARPS,SW1418-2016,214.68225,-20.27437,0.999972,3.78172e-07,6.913310000000001e-07,115000.0,16.3,55276.16114796,55276.166935,ivo://eso.org/origfile?HARPS.2010-03-21T03:52:03.184_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:41:29.290&eso_download=file,ADP.2014-09-24T09:41:29.290
HARPS,SW1418-2016,214.68632,-20.27402,0.999972,3.78173e-07,6.9133e-07,115000.0,19.0,55276.26423516,55276.27002218,ivo://eso.org/origfile?HARPS.2010-03-21T06:20:29.918_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:41:33.213&eso_download=file,ADP.2014-09-24T09:41:33.213
HARPS,SW1418-2016,214.68875,-20.27632,0.999972,3.7817500000000004e-07,6.91326e-07,115000.0,31.8,55279.39985356,55279.41721467,ivo://eso.org/origfile?HARPS.2010-03-24T09:35:47.348_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:41:34.017&eso_download=file,ADP.2014-09-24T09:41:34.017
HARPS,SW1418-2016,214.6863,-20.27444,0.999972,3.78172e-07,6.9133e-07,115000.0,13.3,55276.24490637,55276.2506935,ivo://eso.org/origfile?HARPS.2010-03-21T05:52:39.910_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:41:43.140&eso_download=file,ADP.2014-09-24T09:41:43.140
HARPS,SW1418-2016,214.68754,-20.27476,0.999972,3.78173e-07,6.913310000000001e-07,115000.0,16.0,55276.19334391,55276.19913102,ivo://eso.org/origfile?HARPS.2010-03-21T04:38:24.914_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:41:48.747&eso_download=file,ADP.2014-09-24T09:41:48.747
HARPS,SW1418-2016,214.68713,-20.27504,0.999972,3.78172e-07,6.9133e-07,115000.0,14.8,55276.21268715,55276.21847418,ivo://eso.org/origfile?HARPS.2010-03-21T05:06:16.170_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:41:50.477&eso_download=file,ADP.2014-09-24T09:41:50.477
HARPS,SW1418-2016,214.68675,-20.27405,0.999972,3.78173e-07,6.9133e-07,115000.0,18.8,55276.32220967,55276.32799669,ivo://eso.org/origfile?HARPS.2010-03-21T07:43:58.915_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:41:58.550&eso_download=file,ADP.2014-09-24T09:41:58.550
HARPS,SW1418-2016,214.68633,-20.27424,0.999972,3.7817399999999996e-07,6.9133e-07,115000.0,12.6,55276.25134159,55276.2571287,ivo://eso.org/origfile?HARPS.2010-03-21T06:01:55.913_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:42:08.420&eso_download=file,ADP.2014-09-24T09:42:08.420
HARPS,SW1418-2016,214.68754,-20.2745,0.999972,3.78172e-07,6.913310000000001e-07,115000.0,15.7,55276.18690836,55276.19269548,ivo://eso.org/origfile?HARPS.2010-03-21T04:29:08.882_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:42:11.417&eso_download=file,ADP.2014-09-24T09:42:11.417
HARPS,SW1418-2016,214.67896,-20.27671,0.999972,3.78178e-07,6.913289999999999e-07,115000.0,29.5,55279.1124341,55279.13326744,ivo://eso.org/origfile?HARPS.2010-03-24T02:41:54.306_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:42:17.773&eso_download=file,ADP.2014-09-24T09:42:17.773
HARPS,SW1418-2016,214.68682,-20.27386,0.999972,3.78172e-07,6.9133e-07,115000.0,21.2,55276.30287245,55276.30865948,ivo://eso.org/origfile?HARPS.2010-03-21T07:16:08.180_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:42:18.080&eso_download=file,ADP.2014-09-24T09:42:18.080
