COLLECTION,TARGETNAME,s_ra,s_dec,APERTURE,em_min,em_max,SPECRP,SNR,t_min,t_max,CREATORDID,access_url,dp_id
HARPS,HATS699-001,192.193957,-47.61459,0.999972,3.78209e-07,6.913289999999999e-07,115000.0,17.0,57805.20101875,57805.21490762,ivo://eso.org/origfile?HARPS.2017-02-21T04:49:28.020_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2017-02-22T01:01:50.877&eso_download=file,ADP.2017-02-22T01:01:50.877
HARPS,HATS699-001,192.19402,-47.61411,0.999972,3.7817399999999996e-07,6.91309e-07,115000.0,11.6,57111.08475191,57111.09516859,ivo://eso.org/origfile?HARPS.2015-03-30T02:02:02.565_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-15T08:03:53.983&eso_download=file,ADP.2015-04-15T08:03:53.983
HARPS,HATS699-001,192.194493,-47.61389,0.999972,3.78209e-07,6.913289999999999e-07,115000.0,12.2,57805.1813746,57805.19526347,ivo://eso.org/origfile?HARPS.2017-02-21T04:21:10.765_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2017-02-22T01:01:50.867&eso_download=file,ADP.2017-02-22T01:01:50.867
HARPS,HATS-17,192.189035,-47.61479,0.999972,3.78204e-07,6.91312e-07,115000.0,19.4,57467.07418592,57467.08807479,ivo://eso.org/origfile?HARPS.2016-03-20T01:46:49.663_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-03-21T01:01:45.500&eso_download=file,ADP.2016-03-21T01:01:45.500
HARPS,HATS699-001,192.190296,-47.61441,0.999972,3.78185e-07,6.91336e-07,115000.0,16.8,57068.32470183,57068.33511852,ivo://eso.org/origfile?HARPS.2015-02-15T07:47:34.238_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-02-15T23:55:26.003&eso_download=file,ADP.2015-02-15T23:55:26.003
HARPS,HATS699-001,192.189755,-47.6144,0.999972,3.78184e-07,6.91337e-07,115000.0,12.3,57069.35278601,57069.36320268,ivo://eso.org/origfile?HARPS.2015-02-16T08:28:00.711_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-02-16T23:55:30.783&eso_download=file,ADP.2015-02-16T23:55:30.783
HARPS,HATS699-001,192.189305,-47.61438,0.999972,3.78185e-07,6.91337e-07,115000.0,13.2,57069.38799257,57069.39840926,ivo://eso.org/origfile?HARPS.2015-02-16T09:18:42.558_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-02-16T23:55:30.903&eso_download=file,ADP.2015-02-16T23:55:30.903
HARPS,HATS699-001,192.18975,-47.61472,0.999972,3.7818599999999997e-07,6.91337e-07,115000.0,21.3,57070.3124898,57070.32985094,ivo://eso.org/origfile?HARPS.2015-02-17T07:29:59.119_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-02-17T23:55:25.707&eso_download=file,ADP.2015-02-17T23:55:25.707
HARPS,HATS699-001,192.189443,-47.6144,0.999972,3.78183e-07,6.913350000000001e-07,115000.0,21.6,57071.33875823,57071.35959157,ivo://eso.org/origfile?HARPS.2015-02-18T08:07:48.711_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-02-18T23:55:26.123&eso_download=file,ADP.2015-02-18T23:55:26.123
HARPS,HATS699-001,192.190679,-47.61454,0.999972,3.78171e-07,6.91308e-07,115000.0,9.3,57112.11567338,57112.12609006,ivo://eso.org/origfile?HARPS.2015-03-31T02:46:34.180_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-04-15T08:03:53.817&eso_download=file,ADP.2015-04-15T08:03:53.817
