COLLECTION,TARGETNAME,s_ra,s_dec,APERTURE,em_min,em_max,SPECRP,SNR,t_min,t_max,CREATORDID,access_url,dp_id
HARPS,HD61051,113.984942,-32.84143,0.999972,3.78195e-07,6.91306e-07,115000.0,50.3,56288.24912985,56288.25369976,ivo://eso.org/origfile?HARPS.2012-12-27T05:58:44.819_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-26T16:52:12.243&eso_download=file,ADP.2014-09-26T16:52:12.243
HARPS,HD61051,113.985641,-32.84159,0.999972,3.78195e-07,6.91302e-07,115000.0,35.9,58114.19581934,58114.19720821,ivo://eso.org/origfile?HARPS.2017-12-27T04:41:58.791_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2017-12-28T01:02:57.359&eso_download=file,ADP.2017-12-28T01:02:57.359
HARPS,HD61051,113.98539,-32.84411,0.999972,3.78131e-07,6.91253e-07,115000.0,67.4,56080.95702918,56080.96744585,ivo://eso.org/origfile?HARPS.2012-06-02T22:58:07.321_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-26T16:54:52.767&eso_download=file,ADP.2014-09-26T16:54:52.767
HARPS,HD61051,113.986549,-32.84508,0.999972,3.78145e-07,6.912609999999999e-07,115000.0,38.8,56354.23534556,56354.23742891,ivo://eso.org/origfile?HARPS.2013-03-03T05:38:53.856_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-10-06T10:04:42.340&eso_download=file,ADP.2014-10-06T10:04:42.340
HARPS,HD61051,113.98695,-32.84222,0.999972,3.78135e-07,6.912580000000001e-07,115000.0,48.6,55264.13891834,55264.14178641,ivo://eso.org/origfile?HARPS.2010-03-09T03:20:02.545_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:43:43.853&eso_download=file,ADP.2014-09-24T09:43:43.853
HARPS,HD61051,113.986558,-32.84282,0.999972,3.7812900000000004e-07,6.91247e-07,115000.0,45.3,55693.97115533,55693.97306737,ivo://eso.org/origfile?HARPS.2011-05-12T23:18:27.821_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-25T15:33:57.200&eso_download=file,ADP.2014-09-25T15:33:57.200
HARPS,HD61051,113.98637,-32.8412,0.999972,3.7815499999999996e-07,6.91287e-07,115000.0,35.7,53031.18119728,53031.18328056,ivo://eso.org/origfile?HARPS.2004-01-27T04:20:55.445_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-10-01T10:23:33.057&eso_download=file,ADP.2014-10-01T10:23:33.057
HARPS,HD61051,113.98765,-32.84009,0.999972,3.78162e-07,6.913139999999999e-07,115000.0,36.2,54814.29054594,54814.29245798,ivo://eso.org/origfile?HARPS.2008-12-14T06:58:23.169_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-18T12:13:38.290&eso_download=file,ADP.2014-09-18T12:13:38.290
HARPS,HD61051,113.98734,-32.84077,0.999972,3.78171e-07,6.913289999999999e-07,115000.0,53.7,55137.33461239,55137.3422617,ivo://eso.org/origfile?HARPS.2009-11-02T08:01:50.510_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:04:46.663&eso_download=file,ADP.2014-09-23T11:04:46.663
HARPS,HD61051,113.98751,-32.84068,0.999972,3.78173e-07,6.91327e-07,115000.0,37.2,55136.35937452,55136.36319859,ivo://eso.org/origfile?HARPS.2009-11-01T08:37:29.959_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:05:42.963&eso_download=file,ADP.2014-09-23T11:05:42.963
HARPS,HD61051,113.98755,-32.84107,0.999972,3.7813799999999997e-07,6.91247e-07,115000.0,33.0,55295.03786408,55295.03977617,ivo://eso.org/origfile?HARPS.2010-04-09T00:54:31.457_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:42:43.663&eso_download=file,ADP.2014-09-24T09:42:43.663
HARPS,HD61051,113.987548,-32.84151,0.999972,3.78176e-07,6.91287e-07,115000.0,39.6,56316.10449445,56316.10801645,ivo://eso.org/origfile?HARPS.2013-01-24T02:30:28.320_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-10-06T10:05:46.557&eso_download=file,ADP.2014-10-06T10:05:46.557
HARPS,HD61051,113.9883,-32.84141,0.999972,3.78169e-07,6.91323e-07,115000.0,35.7,55105.38687294,55105.39067733,ivo://eso.org/origfile?HARPS.2009-10-01T09:17:05.822_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:00:57.583&eso_download=file,ADP.2014-09-23T11:00:57.583
HARPS,HD61051,113.988143,-32.84011,0.999972,3.78166e-07,6.913160000000001e-07,115000.0,59.4,55543.29861473,55543.30903147,ivo://eso.org/origfile?HARPS.2010-12-13T07:10:00.313_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:43:40.760&eso_download=file,ADP.2014-09-24T09:43:40.760
HARPS,HD61051,113.98806,-32.84082,0.999972,3.78149e-07,6.912799999999999e-07,115000.0,53.1,55230.19045475,55230.19619203,ivo://eso.org/origfile?HARPS.2010-02-03T04:34:15.290_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:44:04.513&eso_download=file,ADP.2014-09-24T09:44:04.513
HARPS,HD61051,113.988299,-32.84079,0.999972,3.78136e-07,6.91247e-07,115000.0,48.1,55658.04659233,55658.04946044,ivo://eso.org/origfile?HARPS.2011-04-07T01:07:05.577_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-25T15:33:27.677&eso_download=file,ADP.2014-09-25T15:33:27.677
HARPS,HD61051,113.9885,-32.84009,0.999972,3.7815699999999996e-07,6.91297e-07,115000.0,45.1,54841.22786256,54841.23073062,ivo://eso.org/origfile?HARPS.2009-01-10T05:28:07.325_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:01:01.703&eso_download=file,ADP.2014-09-23T11:01:01.703
HARPS,HD61051,113.98863,-32.84065,0.999972,3.78153e-07,6.91289e-07,115000.0,27.4,55217.23024836,55217.23216041,ivo://eso.org/origfile?HARPS.2010-01-21T05:31:33.458_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:44:26.737&eso_download=file,ADP.2014-09-24T09:44:26.737
HARPS,HD61051,113.988588,-32.83992,0.999972,3.78149e-07,6.91286e-07,115000.0,63.0,55587.15717784,55587.16488617,ivo://eso.org/origfile?HARPS.2011-01-26T03:46:20.165_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-25T15:34:00.040&eso_download=file,ADP.2014-09-25T15:34:00.040
HARPS,HD61051,113.98891,-32.84212,0.999972,3.78131e-07,6.912459999999999e-07,115000.0,30.1,55300.0496921,55300.05160422,ivo://eso.org/origfile?HARPS.2010-04-14T01:11:33.397_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:42:33.703&eso_download=file,ADP.2014-09-24T09:42:33.703
HARPS,HD61051,113.9885,-32.84202,0.999972,3.78156e-07,6.91297e-07,115000.0,42.3,54840.30619736,54840.30905037,ivo://eso.org/origfile?HARPS.2009-01-09T07:20:55.452_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:05:19.530&eso_download=file,ADP.2014-09-23T11:05:19.530
HARPS,HD61051,113.988364,-32.84473,0.999972,3.78128e-07,6.912459999999999e-07,115000.0,36.3,55691.01176572,55691.01367776,ivo://eso.org/origfile?HARPS.2011-05-10T00:16:56.558_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-25T15:33:52.873&eso_download=file,ADP.2014-09-25T15:33:52.873
HARPS,HD61051,113.984582,-32.84436,0.999972,3.7819200000000003e-07,6.91293e-07,115000.0,30.3,58126.36968407,58126.37199886,ivo://eso.org/origfile?HARPS.2018-01-08T08:52:20.704_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2018-01-09T01:01:17.769&eso_download=file,ADP.2018-01-09T01:01:17.769
HARPS,HD61051,113.984865,-32.84423,0.999972,3.78139e-07,6.91248e-07,115000.0,54.7,56383.12641677,56383.13683344,ivo://eso.org/origfile?HARPS.2013-04-01T03:02:02.409_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-10-06T10:07:33.870&eso_download=file,ADP.2014-10-06T10:07:33.870
HARPS,HD61051,113.984813,-32.84413,0.999972,3.78137e-07,6.912459999999999e-07,115000.0,70.0,56394.0932656,56394.10368227,ivo://eso.org/origfile?HARPS.2013-04-12T02:14:18.148_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-10-06T10:05:16.103&eso_download=file,ADP.2014-10-06T10:05:16.103
HARPS,HD61051,113.98444,-32.84201,0.999972,3.78151e-07,6.91284e-07,115000.0,41.4,53034.11643853,53034.11897204,ivo://eso.org/origfile?HARPS.2004-01-30T02:47:40.289_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-10-01T10:22:01.240&eso_download=file,ADP.2014-10-01T10:22:01.240
HARPS,HD61051,113.984528,-32.84242,0.999972,3.78153e-07,6.91275e-07,115000.0,42.5,56332.21420388,56332.21767611,ivo://eso.org/origfile?HARPS.2013-02-09T05:08:27.215_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-10-06T10:06:03.293&eso_download=file,ADP.2014-10-06T10:06:03.293
HARPS,HD61051,113.984133,-32.84112,0.999972,3.7813999999999997e-07,6.91252e-07,115000.0,50.7,56739.03535415,56739.0402152,ivo://eso.org/origfile?HARPS.2014-03-23T00:50:54.599_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-10-07T08:35:29.570&eso_download=file,ADP.2014-10-07T08:35:29.570
HARPS,HD61051,113.98378,-32.8416,0.999972,3.78137e-07,6.91247e-07,115000.0,36.6,56389.05098901,56389.05307236,ivo://eso.org/origfile?HARPS.2013-04-07T01:13:25.450_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-10-06T10:06:15.727&eso_download=file,ADP.2014-10-06T10:06:15.727
HARPS,HD61051,113.983889,-32.84101,0.999972,3.78139e-07,6.91247e-07,115000.0,28.3,56390.03076732,56390.03285066,ivo://eso.org/origfile?HARPS.2013-04-08T00:44:18.296_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-10-06T10:07:35.243&eso_download=file,ADP.2014-10-06T10:07:35.243
HARPS,HD61051,113.98351,-32.84109,0.999972,3.78136e-07,6.91249e-07,115000.0,37.0,56746.05712635,56746.05920968,ivo://eso.org/origfile?HARPS.2014-03-30T01:22:15.717_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-10-07T08:34:20.463&eso_download=file,ADP.2014-10-07T08:34:20.463
HARPS,HD61051,113.983832,-32.84215,0.999972,3.7820299999999996e-07,6.91324e-07,115000.0,50.8,58056.37805052,58056.38036532,ivo://eso.org/origfile?HARPS.2017-10-30T09:04:23.565_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2017-10-31T01:01:42.019&eso_download=file,ADP.2017-10-31T01:01:42.019
HARPS,HD61051,113.98353,-32.84412,0.999972,3.78133e-07,6.912459999999999e-07,115000.0,46.7,53836.08081102,53836.08272308,ivo://eso.org/origfile?HARPS.2006-04-11T01:56:22.072_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-16T11:06:47.123&eso_download=file,ADP.2014-09-16T11:06:47.123
HARPS,HD61051,113.98539,-32.83986,0.999972,3.7817e-07,6.91322e-07,115000.0,42.7,54431.29169711,54431.29360915,ivo://eso.org/origfile?HARPS.2007-11-27T07:00:02.630_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-17T11:19:55.410&eso_download=file,ADP.2014-09-17T11:19:55.410
HARPS,HD61051,113.98794,-32.83982,0.999972,3.7814800000000003e-07,6.91274e-07,115000.0,35.4,54143.13491935,54143.13683136,ivo://eso.org/origfile?HARPS.2007-02-12T03:14:17.032_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-17T11:23:07.753&eso_download=file,ADP.2014-09-17T11:23:07.753
HARPS,HD61051,113.9873,-32.83955,0.999972,3.78173e-07,6.91325e-07,115000.0,48.9,54426.35958335,54426.36148499,ivo://eso.org/origfile?HARPS.2007-11-22T08:37:48.001_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-17T11:24:35.537&eso_download=file,ADP.2014-09-17T11:24:35.537
HARPS,HD61051,113.98738,-32.8396,0.999972,3.7814600000000003e-07,6.91274e-07,115000.0,43.9,54873.09903184,54873.10132698,ivo://eso.org/origfile?HARPS.2009-02-11T02:22:36.351_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:01:22.113&eso_download=file,ADP.2014-09-23T11:01:22.113
HARPS,HD61051,113.98719,-32.83972,0.999972,3.78132e-07,6.912459999999999e-07,115000.0,22.2,55301.99504929,55302.00546603,ivo://eso.org/origfile?HARPS.2010-04-15T23:52:52.259_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:41:48.527&eso_download=file,ADP.2014-09-24T09:41:48.527
HARPS,HD61051,113.989443,-32.84102,0.999972,3.78169e-07,6.91322e-07,115000.0,39.6,55527.21714518,55527.21905728,ivo://eso.org/origfile?HARPS.2010-11-27T05:12:41.344_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:41:52.010&eso_download=file,ADP.2014-09-24T09:41:52.010
HARPS,HD61051,113.99017,-32.84416,0.999972,3.7815499999999996e-07,6.91288e-07,115000.0,36.2,55218.30068942,55218.30260146,ivo://eso.org/origfile?HARPS.2010-01-22T07:12:59.566_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:43:36.970&eso_download=file,ADP.2014-09-24T09:43:36.970
HARPS,HD61051,113.99143,-32.8438,0.999972,3.78132e-07,6.91245e-07,115000.0,37.4,55315.07834088,55315.08217198,ivo://eso.org/origfile?HARPS.2010-04-29T01:52:48.652_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:44:04.620&eso_download=file,ADP.2014-09-24T09:44:04.620
HARPS,HD61051,113.983172,-32.84128,0.999972,3.7812900000000004e-07,6.912459999999999e-07,115000.0,38.7,56052.96101834,56052.96293037,ivo://eso.org/origfile?HARPS.2012-05-05T23:03:51.985_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-26T16:52:59.510&eso_download=file,ADP.2014-09-26T16:52:59.510
HARPS,HD61051,113.982698,-32.84129,0.999972,3.78128e-07,6.91247e-07,115000.0,40.8,56058.94926393,56058.95117596,ivo://eso.org/origfile?HARPS.2012-05-11T22:46:56.404_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-26T16:53:55.907&eso_download=file,ADP.2014-09-26T16:53:55.907
HARPS,HD61051,113.983028,-32.84387,0.999972,3.78134e-07,6.912540000000001e-07,115000.0,65.6,56082.94927496,56082.95969163,ivo://eso.org/origfile?HARPS.2012-06-04T22:46:57.357_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-26T16:54:15.197&eso_download=file,ADP.2014-09-26T16:54:15.197
HARPS,HD61051,113.983067,-32.84333,0.999972,3.78133e-07,6.91253e-07,115000.0,84.4,56078.95099434,56078.96141101,ivo://eso.org/origfile?HARPS.2012-05-31T22:49:25.911_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-26T16:54:45.330&eso_download=file,ADP.2014-09-26T16:54:45.330
HARPS,HD61051,113.98302,-32.84114,0.999972,3.78165e-07,6.913099999999999e-07,115000.0,32.7,53360.26748612,53360.26939818,ivo://eso.org/origfile?HARPS.2004-12-21T06:25:10.801_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-10-01T10:19:16.897&eso_download=file,ADP.2014-10-01T10:19:16.897
HARPS,HD61051,113.98226,-32.84119,0.999972,3.78168e-07,6.913099999999999e-07,115000.0,42.7,53361.294749,53361.29666106,ivo://eso.org/origfile?HARPS.2004-12-22T07:04:26.314_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-10-01T10:21:34.833&eso_download=file,ADP.2014-10-01T10:21:34.833
HARPS,HD61051,113.9828,-32.84082,0.999972,3.78163e-07,6.91309e-07,115000.0,34.5,53362.23900928,53362.24092132,ivo://eso.org/origfile?HARPS.2004-12-23T05:44:10.402_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-10-01T10:21:45.497&eso_download=file,ADP.2014-10-01T10:21:45.497
HARPS,HD61051,113.98128,-32.84102,0.999972,3.78161e-07,6.913010000000001e-07,115000.0,49.3,53374.24219949,53374.24793648,ivo://eso.org/origfile?HARPS.2005-01-04T05:48:46.036_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-10-02T10:00:45.887&eso_download=file,ADP.2014-10-02T10:00:45.887
HARPS,HD61051,113.98327,-32.8421,0.999972,3.78135e-07,6.91247e-07,115000.0,33.5,56388.0559922,56388.05807553,ivo://eso.org/origfile?HARPS.2013-04-06T01:20:37.726_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-10-06T10:04:16.640&eso_download=file,ADP.2014-10-06T10:04:16.640
HARPS,HD61051,113.984667,-32.84369,0.999972,3.7814199999999997e-07,6.91251e-07,115000.0,32.9,56374.12779972,56374.12956073,ivo://eso.org/origfile?HARPS.2013-03-23T03:04:01.896_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-10-06T10:04:36.623&eso_download=file,ADP.2014-10-06T10:04:36.623
HARPS,HD61051,113.982812,-32.84203,0.999972,3.7814299999999995e-07,6.91253e-07,115000.0,29.5,56371.0956645,56371.09742551,ivo://eso.org/origfile?HARPS.2013-03-20T02:17:45.413_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-10-06T10:04:40.717&eso_download=file,ADP.2014-10-06T10:04:40.717
HARPS,HD61051,113.983284,-32.84278,0.999972,3.78145e-07,6.912569999999999e-07,115000.0,45.1,56362.12626635,56362.12973858,ivo://eso.org/origfile?HARPS.2013-03-11T03:01:49.413_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-10-06T10:06:12.793&eso_download=file,ADP.2014-10-06T10:06:12.793
HARPS,HD61051,113.983549,-32.84218,0.999972,3.78132e-07,6.91245e-07,115000.0,70.7,56411.00243308,56411.01284975,ivo://eso.org/origfile?HARPS.2013-04-29T00:03:30.218_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-10-06T10:07:20.173&eso_download=file,ADP.2014-10-06T10:07:20.173
HARPS,HD61051,113.984222,-32.84065,0.999972,3.78139e-07,6.91249e-07,115000.0,20.8,56748.01684512,56748.01904422,ivo://eso.org/origfile?HARPS.2014-04-01T00:24:15.418_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-10-07T08:33:46.917&eso_download=file,ADP.2014-10-07T08:33:46.917
HARPS,HD61051,113.982935,-32.84086,0.999972,3.78139e-07,6.91255e-07,115000.0,47.0,56731.07109123,56731.08150792,ivo://eso.org/origfile?HARPS.2014-03-15T01:42:22.282_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-10-07T08:34:42.123&eso_download=file,ADP.2014-10-07T08:34:42.123
HARPS,HD61051,113.984737,-32.83955,0.999972,3.7813999999999997e-07,6.91253e-07,115000.0,49.2,57101.99895917,57102.00358882,ivo://eso.org/origfile?HARPS.2015-03-20T23:58:30.072_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-03-21T23:55:27.987&eso_download=file,ADP.2015-03-21T23:55:27.987
HARPS,HD61051,113.981416,-32.84252,0.999972,3.78212e-07,6.913160000000001e-07,115000.0,24.5,57356.28947603,57356.29089881,ivo://eso.org/origfile?HARPS.2015-11-30T06:56:50.729_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2015-12-01T02:01:29.060&eso_download=file,ADP.2015-12-01T02:01:29.060
HARPS,HD61051,113.983835,-32.8431,0.999972,3.78209e-07,6.91324e-07,115000.0,27.3,57684.36804554,57684.37047608,ivo://eso.org/origfile?HARPS.2016-10-23T08:49:59.135_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-10-24T01:01:15.563&eso_download=file,ADP.2016-10-24T01:01:15.563
