COLLECTION,TARGETNAME,s_ra,s_dec,APERTURE,em_min,em_max,SPECRP,SNR,t_min,t_max,CREATORDID,access_url,dp_id
HARPS,SW1559-2803,239.9703,-28.06562,0.999972,3.78122e-07,6.912419999999999e-07,115000.0,13.0,55018.26762869,55018.27804534,ivo://eso.org/origfile?HARPS.2009-07-06T06:25:23.119_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:01:21.767&eso_download=file,ADP.2014-09-23T11:01:21.767
HARPS,SW1559-2803,239.96884,-28.06505,0.999972,3.78124e-07,6.912419999999999e-07,115000.0,13.6,55018.25297988,55018.25992431,ivo://eso.org/origfile?HARPS.2009-07-06T06:04:17.462_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:04:40.633&eso_download=file,ADP.2014-09-23T11:04:40.633
HARPS,SW1559-2803,239.96968,-28.06534,0.999972,3.78122e-07,6.912419999999999e-07,115000.0,10.8,55018.260307,55018.26725146,ivo://eso.org/origfile?HARPS.2009-07-06T06:14:50.525_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-23T11:02:51.997&eso_download=file,ADP.2014-09-23T11:02:51.997
HARPS,SW1559-2803,239.960972,-28.05926,0.999972,3.78167e-07,6.912390000000001e-07,115000.0,12.6,57573.11779807,57573.13168694,ivo://eso.org/origfile?HARPS.2016-07-04T02:49:37.753_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-07-05T09:17:38.505&eso_download=file,ADP.2016-07-05T09:17:38.505
HARPS,SW1559-2803,239.960556,-28.05996,0.999972,3.7816000000000005e-07,6.912390000000001e-07,115000.0,14.0,57573.14630339,57573.16019226,ivo://eso.org/origfile?HARPS.2016-07-04T03:30:40.613_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-07-05T09:17:38.497&eso_download=file,ADP.2016-07-05T09:17:38.497
HARPS,SW1559-2803,239.960306,-28.06045,0.999972,3.78162e-07,6.912390000000001e-07,115000.0,12.8,57573.16055292,57573.17444179,ivo://eso.org/origfile?HARPS.2016-07-04T03:51:11.772_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-07-05T09:17:38.507&eso_download=file,ADP.2016-07-05T09:17:38.507
HARPS,SW1559-2803,239.960821,-28.05952,0.999972,3.78161e-07,6.912390000000001e-07,115000.0,12.9,57573.13204436,57573.14593323,ivo://eso.org/origfile?HARPS.2016-07-04T03:10:08.633_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-07-05T09:17:38.513&eso_download=file,ADP.2016-07-05T09:17:38.513
HARPS,SW1559-2803,239.961167,-28.05997,0.999972,3.7816000000000005e-07,6.9124e-07,115000.0,4.8,57573.04907958,57573.05776012,ivo://eso.org/origfile?HARPS.2016-07-04T01:10:40.476_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-07-05T09:17:38.499&eso_download=file,ADP.2016-07-05T09:17:38.499
HARPS,SW1559-2803,239.961149,-28.0598,0.999972,3.78161e-07,6.9124e-07,115000.0,9.5,57573.05989398,57573.07378285,ivo://eso.org/origfile?HARPS.2016-07-04T01:26:14.840_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-07-05T09:17:38.509&eso_download=file,ADP.2016-07-05T09:17:38.509
HARPS,SW1559-2803,239.961329,-28.05933,0.999972,3.7816000000000005e-07,6.912390000000001e-07,115000.0,12.1,57573.10354864,57573.11743751,ivo://eso.org/origfile?HARPS.2016-07-04T02:29:06.602_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-07-05T09:17:38.503&eso_download=file,ADP.2016-07-05T09:17:38.503
HARPS,SW1559-2803,239.961516,-28.05937,0.999972,3.7816000000000005e-07,6.912390000000001e-07,115000.0,11.6,57573.08930119,57573.10319006,ivo://eso.org/origfile?HARPS.2016-07-04T02:08:35.623_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-07-05T09:17:38.525&eso_download=file,ADP.2016-07-05T09:17:38.525
HARPS,SW1559-2803,239.961671,-28.05954,0.999972,3.78161e-07,6.912390000000001e-07,115000.0,11.6,57573.07505306,57573.08894193,ivo://eso.org/origfile?HARPS.2016-07-04T01:48:04.584_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-07-05T09:17:38.517&eso_download=file,ADP.2016-07-05T09:17:38.517
HARPS,SW1559-2803,239.95808,-28.06404,0.999972,3.78183e-07,6.91349e-07,115000.0,26.0,55277.18268951,55277.19657849,ivo://eso.org/origfile?HARPS.2010-03-22T04:23:04.374_s1d_A_DRS_HARPS_3.5_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2014-09-24T09:43:02.047&eso_download=file,ADP.2014-09-24T09:43:02.047
HARPS,SW1559-2803,239.961389,-28.06272,0.999972,3.78161e-07,6.912390000000001e-07,115000.0,9.5,57573.20330546,57573.21719433,ivo://eso.org/origfile?HARPS.2016-07-04T04:52:45.592_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-07-05T09:17:38.529&eso_download=file,ADP.2016-07-05T09:17:38.529
HARPS,SW1559-2803,239.961131,-28.06277,0.999972,3.78161e-07,6.912390000000001e-07,115000.0,12.5,57573.21755338,57573.23144225,ivo://eso.org/origfile?HARPS.2016-07-04T05:13:16.612_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-07-05T09:17:38.533&eso_download=file,ADP.2016-07-05T09:17:38.533
HARPS,SW1559-2803,239.960706,-28.06197,0.999972,3.7816000000000005e-07,6.912390000000001e-07,115000.0,10.1,57573.18905952,57573.20294839,ivo://eso.org/origfile?HARPS.2016-07-04T04:32:14.743_s1d_A_DRS_HARPS_3.8_ESOSDP.fits,http://archive.eso.org/datalink/links?ID=ivo://eso.org/ID?ADP.2016-07-05T09:17:38.523&eso_download=file,ADP.2016-07-05T09:17:38.523
